Residential Carbon Emissions (ktCO2),Coal,Peat,Oil,Natural Gas,Electricity
2005,989,1170,4564,1443,4775
2006,877,1216,4439,1504,4819
2007,835,1163,4458,1414,4523
2008,922,1195,4951,1593,4671
2009,1070,1161,4763,1492,4260
2010,1016,1085,4952,1697,4527
2011,873,1034,4262,1360,4050
2012,968,915,3733,1430,4319
2013,1078,929,3413,1422,3747
2014,953,855,2979,1272,3546
2015,995,858,3313,1323,3701
2016,1036,842,3575,1316,3820
2017,792,807,3409,1296,3554
2018,876,841,3658,1411,3166
2019,753,787,3602,1387,2734
2020,789,811,4156,1387,2703
2021,753,774,3775,1404,3068
2022,508,692,3171,1280,2752
