Residential Final Energy (ktoe),Residential Final Energy Demand,Weather Corrected Residential Final Energy Demand
2005,3295.9276,3362.937299
2006,3319.383882,3425.475232
2007,3269.668743,3459.465957
2008,3580.41957,3443.511615
2009,3481.179493,3343.102052
2010,3638.751113,3193.610874
2011,3195.04414,3171.788307
2012,3039.657828,2906.735072
2013,2959.789063,2811.121958
2014,2676.55378,2671.833982
2015,2844.819113,2730.288909
2016,2950.731018,2866.474054
2017,2824.865886,2822.933519
2018,3011.937318,2909.136903
2019,2935.61828,2886.096162
2020,3195.007974,3178.465277
2021,3075.190553,3015.603537
2022,2708.37961,2802.127264
